id	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16	HUGO
ENSG00000012048:068	0	0	BRCA1
ENSG00000012048:069	0	0	BRCA1
ENSG00000012048:070	0	0	BRCA1
ENSG00000012061:001	0	0	ERCC1
ENSG00000012061:002	0	0	ERCC1
ENSG00000012061:003	0	0	ERCC1
ENSG00000012061:004	0	0	ERCC1
ENSG00000012061:005	0	0	ERCC1
ENSG00000012061:006	0	0	ERCC1
ENSG00000012061:007	0	0	ERCC1
ENSG00000012061:008	0	0	ERCC1
ENSG00000012061:009	0	0	ERCC1
ENSG00000012061:010	0	0	ERCC1
ENSG00000012061:011	0	0	ERCC1
ENSG00000012061:012	0	0	ERCC1
ENSG00000012061:013	0	0	ERCC1
ENSG00000012061:014	0	0	ERCC1
ENSG00000012061:015	0	0	ERCC1
ENSG00000012061:016	0	0	ERCC1
ENSG00000012061:017	0	0	ERCC1
ENSG00000012061:018	0	0	ERCC1
ENSG00000012061:019	0	0	ERCC1
ENSG00000012061:020	0	0	ERCC1
ENSG00000012061:021	0	0	ERCC1
ENSG00000012061:022	0	0	ERCC1
ENSG00000012061:023	0	0	ERCC1
ENSG00000012061:024	0	0	ERCC1
ENSG00000012061:025	0	0	ERCC1
ENSG00000012061:026	0	0	ERCC1
ENSG00000012061:027	0	0	ERCC1
ENSG00000012061:028	0	0	ERCC1
ENSG00000012061:029	0	0	ERCC1
ENSG00000012061:030	0	0	ERCC1
ENSG00000012061:031	0	0	ERCC1
ENSG00000012061:032	0	0	ERCC1
ENSG00000012061:033	0	0	ERCC1
ENSG00000012061:034	0	0	ERCC1
ENSG00000012061:035	0	0	ERCC1
ENSG00000012061:036	0	0	ERCC1
ENSG00000012061:037	0	0	ERCC1
ENSG00000012061:038	0	0	ERCC1
ENSG00000012061:039	0	0	ERCC1
ENSG00000015285:001	0	0	WAS
ENSG00000015285:002	0	0	WAS
ENSG00000015285:003	0	0	WAS
ENSG00000015285:004	0	0	WAS
ENSG00000015285:005	0	0	WAS
ENSG00000015285:006	0	0	WAS
ENSG00000015285:007	0	0	WAS
ENSG00000015285:008	0	0	WAS
ENSG00000015285:009	0	0	WAS
ENSG00000015285:010	0	0	WAS
ENSG00000015285:011	0	0	WAS
ENSG00000015285:012	0	0	WAS
ENSG00000015285:013	0	0	WAS
ENSG00000015285:014	0	0	WAS
ENSG00000015285:015	0	0	WAS
ENSG00000015285:016	0	0	WAS
ENSG00000015285:017	0	0	WAS
ENSG00000015285:018	0	0	WAS
ENSG00000015285:019	0	0	WAS
ENSG00000015285:020	0	0	WAS
ENSG00000015285:021	0	0	WAS
ENSG00000015285:022	0	0	WAS
ENSG00000015285:023	0	0	WAS
ENSG00000015285:024	0	0	WAS
ENSG00000015285:025	0	0	WAS
ENSG00000015285:026	0	0	WAS
ENSG00000015285:027	0	0	WAS
ENSG00000018408:001	0	0	WWTR1
ENSG00000018408:002	0	0	WWTR1
ENSG00000018408:003	0	0	WWTR1
ENSG00000018408:004	0	0	WWTR1
ENSG00000018408:005	0	0	WWTR1
ENSG00000018408:006	0	0	WWTR1
ENSG00000018408:007	0	0	WWTR1
ENSG00000018408:008	0	0	WWTR1
